Unique ID,Title,Category,Source,Owner,Status,Proposed URL
1,House Cats - General,Cat Types,http://en.wikipedia.org/wiki/House_cats,William,Needs editing,catfacts.ca/cat-types/house-cats
2,Cat Health,Cat Care,http://en.wikipedia.org/wiki/Cat_health,William,Needs editing,catfacts.ca/cat-care/cat-health
3,Cat Senses,Cat Care,http://en.wikipedia.org/wiki/Cat_senses,William,Needs editing,catfacts.ca/cat-care/cat-senses
4,Cat Behaviour,Cat Care,http://en.wikipedia.org/wiki/Cat_behavior,William,Needs editing,catfacts.ca/cat-care/cat-behaviour
5,Kittens,Cat Care,http://en.wikipedia.org/wiki/Kittens,William,Needs editing,catfacts.ca/cat-care/kittens
6,Cat Intelligence,Cat Care,http://en.wikipedia.org/wiki/Cat_intelligence,William,Needs editing,catfacts.ca/cat-care/cat-intelligence
7,Cultural Depictions of Cats,Cats in Cultre,http://en.wikipedia.org/wiki/Cultural_depictions_of_cats,William,Needs editing,catfacts.ca/cat-culture/cultural-depictions
8,Cats in Egypt,Cats in Cultre,http://en.wikipedia.org/wiki/Cats_in_ancient_Egypt,William,Needs editing,catfacts.ca/cat-culture/cats-egypt
9,Cat Years,Cat Care,http://en.wikipedia.org/wiki/Cat_years,William,Needs editing,catfacts.ca/cat-care/cat-years
10,Cats and Play,Cat Care,http://en.wikipedia.org/wiki/Cat_play_and_toys,William,Needs editing,catfacts.ca/cat-care/cat-play
11,Cat Anatomy,Cat Care,http://en.wikipedia.org/wiki/Cat_anatomy,William,Needs editing,catfacts.ca/cat-care/cat-anatomy
12,Cat Genetics,Cat Types,http://en.wikipedia.org/wiki/Cat_genetics,William,Needs editing,catfacts.ca/cat-types/genetics
13,Cats and You,Cat Care,http://en.wikipedia.org/wiki/Cats_and_humans,William,Needs editing,catfacts.ca/cat-care/cats-and-you
14,Calico Cats,Cat Types,http://en.wikipedia.org/wiki/Calico_cats,William,Needs editing,catfacts.ca/cat-types/cailco
15,Persian Cats,Cat Types,http://en.wikipedia.org/wiki/Persian_Cat,William,Needs editing,catfacts.ca/cat-types/persian
16,Cat Evolution - Prehistoric Cats,Cat Types,http://en.wikipedia.org/wiki/Cat_gap#Cat_evolution,William,Needs editing,catfacts.ca/cat-types/evolution
17,Famous Cats,Cats in Cultre,http://en.wikipedia.org/wiki/List_of_cats,William,Needs editing,catfacts.ca/cat-culture/famous-cats
18,American Short Hair,Cat Types,http://en.wikipedia.org/wiki/American_Shorthair,William,Needs editing,catfacts.ca/cat-types/american-shorthair
19,Siamese Cats,Cat Types,http://en.wikipedia.org/wiki/Siamese_(cat),William,Needs editing,catfacts.ca/cat-types/siamese
20,Tabby Cats,Cat Types,http://en.wikipedia.org/wiki/Tabby_cat,William,Needs editing,catfacts.ca/cat-types/tabby
